[2023-10-15 19:27:41] No settings files found: C:/Games/Mindustry/saves/settings.bin and C:/Games/Mindustry/saves/settings_backup.bin
[2024-06-05 03:31:48] Saving 899 values; 33725 bytes
[2024-06-05 03:31:54] Saving 899 values; 33738 bytes
[2024-06-05 03:33:29] Saving 899 values; 33738 bytes
[2024-06-05 03:33:32] Saving 899 values; 33738 bytes
[2024-06-05 03:33:38] Saving 899 values; 33749 bytes
[2024-06-05 03:33:43] Saving 899 values; 33682 bytes
[2024-06-05 03:33:44] Saving 900 values; 33775 bytes
[2024-06-05 04:01:57] Saving 903 values; 34922 bytes
[2024-06-05 04:22:22] Saving 903 values; 35027 bytes
[2024-06-05 04:22:25] Saving 903 values; 35016 bytes
[2024-06-05 04:22:43] Saving 903 values; 35016 bytes
[2024-06-05 04:22:45] Saving 903 values; 35016 bytes
[2024-06-05 20:26:35] Loaded 903 values
[2024-06-05 20:26:35] Backed up saves/settings.bin to saves/settings_backup.bin (35016 bytes)
[2024-06-05 20:26:38] Saving 903 values; 35016 bytes
[2024-06-05 20:28:24] Saving 903 values; 35002 bytes
[2024-06-05 20:28:25] Saving 903 values; 35016 bytes
[2024-06-05 20:28:28] Saving 903 values; 35002 bytes
[2024-06-05 20:28:29] Saving 903 values; 35016 bytes
[2024-06-05 20:30:21] Saving 903 values; 34991 bytes
[2024-06-05 20:30:21] Saving 903 values; 34991 bytes
[2024-06-05 20:30:21] Saving 903 values; 34991 bytes
[2024-06-05 20:30:22] Saving 903 values; 34991 bytes
[2024-06-05 20:30:25] Saving 903 values; 34991 bytes
[2024-06-05 20:30:25] Saving 903 values; 35046 bytes
[2024-06-05 20:30:25] Saving 903 values; 35046 bytes
[2024-06-05 20:30:29] Saving 905 values; 35525 bytes
[2024-06-05 20:47:53] Saving 906 values; 36138 bytes
[2024-06-06 01:53:00] Saving 906 values; 36113 bytes
[2024-06-06 01:53:01] Saving 906 values; 36113 bytes
[2024-06-06 01:53:03] Saving 906 values; 36098 bytes
[2024-06-06 01:53:03] Saving 906 values; 36098 bytes
[2024-06-06 01:53:03] Saving 906 values; 36098 bytes
[2024-06-06 01:53:06] Saving 906 values; 36098 bytes
[2024-06-06 01:53:07] Saving 907 values; 36189 bytes
[2024-06-06 01:53:12] Saving 909 values; 36597 bytes
[2024-06-06 02:43:53] Saving 910 values; 37335 bytes
[2024-06-06 02:44:05] Saving 910 values; 37335 bytes
[2024-06-06 02:44:15] Saving 910 values; 37335 bytes
[2024-06-06 02:44:30] Saving 910 values; 37335 bytes
[2024-06-06 02:45:05] Saving 910 values; 37335 bytes
[2024-06-06 02:46:05] Saving 910 values; 37335 bytes
